"Mudou o corte pra chamar atenção! Única coisa que pensa fazer bem! #EsquerdistasSeguemEsquerdistas #LutePelaSuaAposentadoria #BolsonaroEnvergonhaOBrasil","2019-07-30T02:11:12.000Z"
"Ainda dá tempo de pressionar os deputados para que eles votem contra a PEC da Reforma da Previdência #LutePelaSuaAposentadoria","2019-07-29T17:00:37.000Z"
"#LavaJatoSeSujou #LutePelaSuaAposentadoria #LulaLivreSóComOPovoNasRuas #SupremoCovarde #BrasilAcorda #BolsonaroInimigoDaEducacao #BolsonaroTeEnganou #MoroEDallagnolNaCadeia #LibertemLula #BolsonaroMiliciano #SupremoAcovardado #MoroJuizFake #MoroTraidorDaPatria #PartidoSoLaranja","2019-07-25T13:38:32.000Z"
"Vamos está demorando esqueci o Moro, vamos pros fatos urgente novas divulgações

#MoroCriminoso 
#MoroEDallagnolNaCadeia 

#ImprensaSemPartido
#LavaJatoAMafiaAntiBrasil 
#LulaLivreQuintaSDV 
#LutePelaSuaAposentadoria
#LulaLivreSóComOPovoNasRuas 
#SupremoCovarde 
#BrasilAcorda","2019-07-25T13:26:40.000Z"
"#LutePelaSuaAposentadoria","2019-07-23T00:04:53.000Z"
"Alguém reconhece essa fascista na foto urgente #ImprensaSemPartido #LibertemLula #BolsonaroMiliciano #MOROMENTIU #SupremoAcovardado #MoroJuizFake #MoroEDallagnolNaCadeia #MoroCriminoso #GloboLixo #LutePelaSuaAposentadoria","2019-07-19T01:13:45.000Z"
"INIMIGOS DO POVO V
Eles votaram contra sua aposentadoria na Câmara. Agora é pressão para que mudem o voto no segundo turno da Reforma da Previdência.
#ReformaComprada 
#LutePelaSuaAposentadoria 
#sisejufe 
(link: https://www.instagram.com/p/B0Bjc9fnN9-/?igshid=jkwo5o66434o) 
instagram.com/p/B0Bjc9fnN9-/…","2019-07-17T16:17:50.000Z"
"INIMIGOS DO POVO IV
Eles votaram contra sua aposentadoria na Câmara.  Agora é pressão para que mudem o voto no segundo turno da Reforma da Previdência.
#ReformaComprada 
#LutePelaSuaAposentadoria 
#sisejufe 
(link: https://www.instagram.com/p/Bz_T37TH6g-/?igshid=12dk6yqdm3v99) 
instagram.com/p/Bz_T37TH6g-/…","2019-07-16T19:23:12.000Z"
"#LutePelaSuaAposentadoria","2019-07-15T20:45:36.000Z"
"INIMIGOS DO POVO I
Eles votaram contra sua aposentadoria na Câmara. Agora é pressão para que mudem o voto no segundo turno da Reforma da Previdência. 
#ReformaComprada 
#LutePelaSuaAposentadoria 
#sisejufe 
(link: https://www.instagram.com/p/Bz832Mcn0e4/?igshid=1qw6cmuf7o36b) 
instagram.com/p/Bz832Mcn0e4/…","2019-07-15T20:39:49.000Z"
"Vai ter luta! A paralisação nacional está marcada para o dia 13 de agosto, com marcha nos municípios em defesa da educação e contra a reforma da previdência. Compartilhe e participe! #LutePelaSuaAposentadoria","2019-07-15T20:06:18.000Z"
"#ReformaComprada
#LutePelaSuaAposentadoria","2019-07-13T04:57:51.000Z"
"A NOVA POLÍTICA:
""Toma lá, dá cá"" mudou para ""Toma cá, dá lá""!
Confira >>> 
(link: http://bit.ly/2Y0XUGb) 
bit.ly/2Y0XUGb

#reformadaprevidencia #aposentadoria #governobolsonaro #novapolitica #LutePelaSuaAposentadoria 
(link: https://ift.tt/2XMrccw) 
ift.tt/2XMrccw","2019-07-12T19:36:18.000Z"
"Resolva o problema : 

Enquanto isso Eduardo Bolsonaro tem um queiroz , quantas laranjas 
 ele tem ???

Pq a resposta pro Problema do João já temos !
#reformainjusta #lutepelasuaaposentadoria em Guarulhos 
(link: https://www.instagram.com/p/Bz0dbRpBE1O/?igshid=13bnh9m473rpo) 
instagram.com/p/Bz0dbRpBE1O/…","2019-07-12T14:15:01.000Z"
"LUTE PELA SUA APOSENTADORIA

Nesta sexta-feira (12/7) tem Caminhada contra a Reforma da Previdência em defesa da Educação. Concentração às 17h em frente à FACED/UFRGS. Saída às 18h.

#ReformaInjusta #LutePelaSuaAposentadoria

(link: https://www.facebook.com/events/718227491952703/) 
facebook.com/events/7182274…","2019-07-11T21:35:43.000Z"
"MOBILIZAÇÃO É INTENSIFICADA PARA BARRAR A REFORMA DA PREVIDÊNCIA. 

(link: http://www.apesjf.org.br/mobilizacao-e-intensificada-para-barrar-a-reforma) 
apesjf.org.br/mobilizacao-e-…

#apes #Lutepelasuaaposentadoria #queroaposentar #novaprevidenciaNão #NovaReformaNão #Aposentadoriaédireito #sevotarnãovolta #nãopassarão","2019-07-11T18:49:10.000Z"
"#LutePelaSuaAposentadoria","2019-07-10T14:36:58.000Z"
"#LutePelaSuaAposentadoria #SindáguaRN","2019-07-10T14:21:14.000Z"
"Saiba como pressionar deputados que querem tirar a sua aposentadoria >>> 
(link: http://bit.ly/30s3KOk) 
bit.ly/30s3KOk >>> #LutePelaSuaAposentadoria #SindáguaRN","2019-07-10T13:57:59.000Z"
"#ReajaOuSuaPrevidênciaAcaba
#LutePelaSuaAposentadoria
#ReformaNão
#NãoaReformaDaPrevidência","2019-07-10T13:52:54.000Z"
"Não deixe que os caras que se aposentam aos 40 anos com aposentadorias gordas te convençam que sua aposentadoria de 1 salário mínimo está quebrando o país e que você vai precisar trabalhar até morrer pra ajudar a nação. DEIXE DE SER OTÁRIO!
#LutePelaSuaAposentadoria","2019-07-10T13:22:36.000Z"
"#AscomVander Você sabia que a #ReformaDaPrevidência ataca injustamente a maioria dos servidores públicos? 
(link: https://vander.website/refprev-6-servidor-publico) 
vander.website/refprev-6-serv… #LutePelaSuaAposentadoria #DigaNãoÀReformaDaPrevidência #ReajaOuSuaPrevidênciaAcaba","2019-07-10T12:54:50.000Z"
"Tenho 40 anos. Na nova regra, para receber 100% da aposentadoria (e a minha já é na regra de teto do setor privado) preciso trabalhar mais 64 anos.

(link: https://infograficos.oglobo.globo.com/economia/simulacao-de-aposentadoria.html) 
infograficos.oglobo.globo.com/economia/simul… #ReformaDaPrevidencia #CalculadoraDaPrevidencia #LutePelaSuaAposentadoria","2019-07-10T03:02:48.000Z"
"Parabéns, Deputada Sâmia. Esse é o tipo de trabalho que deve ser valorizado, as mulheres do Brasil já sofrem tanto e merecem ser mais amparadas. #LutePelaSuaAposentadoria","2019-07-10T01:21:15.000Z"
"Saiba como pressionar deputados que querem tirar a sua aposentadoria >>> 
(link: http://bit.ly/30s3KOk) 
bit.ly/30s3KOk >>> #LutePelaSuaAposentadoria #SindáguaRN","2019-07-10T13:57:59.000Z"
"#ReajaOuSuaPrevidênciaAcaba
#LutePelaSuaAposentadoria
#ReformaNão
#NãoaReformaDaPrevidência","2019-07-10T13:52:54.000Z"
